House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
85,Stoke Trafficway,John,Cross,21,Son,Divorced,Male,University Student,None,Methodist
85,Stoke Trafficway,June,Cross,17,Daughter,NA,Female,Student,None,NA
86,Stoke Trafficway,Lauren,Hodgson,55,Head,Married,Female,Civil Service fast streamer,None,Christian
86,Stoke Trafficway,Gregory,Hodgson,55,Husband,Married,Male,Insurance broker,None,Christian
86,Stoke Trafficway,Hugh,Hodgson,16,Son,NA,Male,Student,None,NA
86,Stoke Trafficway,Marilyn,Moore,14,Daughter,NA,Female,Student,None,NA
86,Stoke Trafficway,Julie,Pearson-Moore,14,Daughter,NA,Female,Student,None,NA
87,Stoke Trafficway,Jacqueline,Lewis,37,Head,Single,Female,Unemployed,None,Christian
87,Stoke Trafficway,Garry,Turner,40,Partner,Single,Male,Medical sales representative,None,Christian
87,Stoke Trafficway,Richard,Lewis,10,Son,NA,Male,Student,None,NA
88,Stoke Trafficway,Pamela,Cooper,44,Head,Married,Female,"Conservator, furniture",None,Catholic
88,Stoke Trafficway,Howard,Cooper,48,Husband,Married,Male,Pathologist,None,Catholic
88,Stoke Trafficway,Eleanor,Cooper,0,Daughter,NA,Female,Child,None,NA
89,Stoke Trafficway,Sandra,Hughes,59,Head,Married,Female,Meteorologist,None,Christian
89,Stoke Trafficway,Elliott,Hughes,58,Husband,Married,Male,Child psychotherapist,None,Christian
89,Stoke Trafficway,Dominic,Hughes,21,Son,Single,Male,University Student,None,Christian
90,Stoke Trafficway,Harriet,Johnson,53,Head,Married,Female,Osteopath,None,Catholic
90,Stoke Trafficway,Phillip,Johnson,48,Husband,Married,Male,Operational investment banker,None,None
90,Stoke Trafficway,Joanna,Davis,21,Daughter,Single,Female,University Student,None,Catholic
90,Stoke Trafficway,Ryan,Davis,1,Son,NA,Male,Child,None,NA
91,Stoke Trafficway,Clare,Yates,63,Head,Single,Female,"Administrator, local government",None,Methodist
91,Stoke Trafficway,Terence,Yates,30,Son,Single,Male,"Chemist, analytical",None,None
91,Stoke Trafficway,Eileen,Yates,29,Daughter,Single,Female,"Engineer, mining",None,None
91,Stoke Trafficway,Bruce,Yates,29,Son,Single,Male,"Programme researcher, broadcasting/film/video",None,Methodist
92,Stoke Trafficway,Suzanne,Watson,33,Head,Divorced,Female,Unemployed,None,None
92,Stoke Trafficway,Kevin,Watson,12,Son,NA,Male,Student,None,NA
92,Stoke Trafficway,Antony,Richardson-Watson,9,Son,NA,Male,Student,None,NA
92,Stoke Trafficway,Aimee,Richardson-Watson,5,Daughter,NA,Female,Student,None,NA
93,Stoke Trafficway,Marc,Buckley,58,Head,Single,Male,Psychiatric nurse,None,Methodist
93,Stoke Trafficway,Robert,Howell,24,None,Single,Male,Secondary school teacher,None,Christian
93,Stoke Trafficway,Sally,Holmes,60,None,Single,Female,Special effects artist,None,Christian
94,Stoke Trafficway,Ellie,White,31,Head,Married,Female,Child psychotherapist,None,None
94,Stoke Trafficway,Maurice,White,34,Husband,Married,Male,Housing manager/officer,None,None
94,Stoke Trafficway,Martyn,White,11,Son,NA,Male,Student,None,NA
95,Stoke Trafficway,Hazel,Ali,63,Head,Divorced,Female,"Administrator, local government",None,None
95,Stoke Trafficway,Kathleen,Ali,44,Daughter,Single,Female,Chiropodist,None,None
95,Stoke Trafficway,Jayne,Ali,40,Daughter,Single,Female,Tour manager,None,None
96,Stoke Trafficway,Patricia,Holden,43,Head,Single,Female,Mudlogger,None,None
96,Stoke Trafficway,Melanie,Holden,20,Daughter,Single,Female,University Student,None,None
97,Stoke Trafficway,Eileen,Taylor,47,Head,Married,Female,Data scientist,None,Christian
97,Stoke Trafficway,Stanley,Taylor,44,Husband,Married,Male,Information systems manager,None,None
97,Stoke Trafficway,Brett,Taylor,10,Son,NA,Male,Student,None,NA
98,Stoke Trafficway,Josephine,Johnson,34,Head,Single,Female,Tax adviser,None,None
98,Stoke Trafficway,Jake,Hayes,34,Partner,Single,Male,"Journalist, magazine",None,None
98,Stoke Trafficway,Michelle,Fisher,37,Lodger,Single,Female,Unemployed,None,Christian
99,Stoke Trafficway,Sophie,Cole,52,Head,Married,Female,Corporate treasurer,None,Christian
99,Stoke Trafficway,Leslie,Cole,54,Husband,Married,Male,Interpreter,None,None
99,Stoke Trafficway,Dylan,Cole,20,Son,Single,Male,University Student,None,Christian
99,Stoke Trafficway,Emma,Cole,5,Daughter,NA,Female,Student,None,NA
100,Stoke Trafficway,Abigail,Oliver,41,Head,Married,Female,Actuary,None,None
100,Stoke Trafficway,Andrew,Oliver,41,Husband,Married,Male,Clinical biochemist,None,None
100,Stoke Trafficway,Billy,Oliver,19,Son,Single,Male,University Student,None,None
100,Stoke Trafficway,Kim,Oliver,16,Daughter,NA,Female,Student,None,NA
100,Stoke Trafficway,Maureen,Oliver,16,Daughter,NA,Female,Student,None,NA
101,Stoke Trafficway,Dominic,Reynolds,45,Head,Married,Male,Trade union research officer,None,Catholic
101,Stoke Trafficway,Grace,Reynolds,40,Wife,Married,Female,Trading standards officer,None,Catholic
101,Stoke Trafficway,Lauren,Clarke,20,None,Married,Female,University Student,None,None
101,Stoke Trafficway,Lauren,Clarke,26,None,Married,Female,Unemployed,None,None
102,Stoke Trafficway,Lydia,Edwards,62,Head,Married,Female,Community education officer,None,None
102,Stoke Trafficway,Alex,Edwards,64,Husband,Married,Male,"Producer, television/film/video",None,None
102,Stoke Trafficway,Jayne,Edwards,16,Daughter,NA,Female,Student,None,NA
103,Stoke Trafficway,Joyce,Phillips,45,Head,Single,Female,Optometrist,None,Methodist
103,Stoke Trafficway,Kieran,Phillips,13,Son,NA,Male,Student,None,NA
103,Stoke Trafficway,Valerie,Phillips,9,Daughter,NA,Female,Student,None,NA
104,Stoke Trafficway,Dorothy,Gill,37,Head,Married,Female,Special effects artist,None,Catholic
104,Stoke Trafficway,Harry,Gill,36,Husband,Married,Male,"Geologist, wellsite",None,Catholic
104,Stoke Trafficway,Jasmine,Palmer,38,Lodger,Single,Female,"Sales professional, IT",None,Christian
105,Stoke Trafficway,Jill,Hill,34,Head,Divorced,Female,Unemployed,None,None
105,Stoke Trafficway,Martyn,Hill,9,Son,NA,Male,Student,None,NA
105,Stoke Trafficway,Mandy,Hill,8,Daughter,NA,Female,Student,None,NA
106,Stoke Trafficway,Alison,Hammond,36,Head,Married,Female,Cartographer,None,None
106,Stoke Trafficway,Mathew,Hammond,39,Husband,Married,Male,"Engineer, petroleum",None,None
107,Stoke Trafficway,Rita,Hill,50,Head,Single,Female,Rural practice surveyor,None,None
107,Stoke Trafficway,Julian,Lambert,51,Partner,Single,Male,"Radiographer, therapeutic",None,None
108,Stoke Trafficway,Geraldine,Williams,78,Head,Married,Female,"Retired Sales professional, IT",None,Christian
108,Stoke Trafficway,Joel,Williams,75,Husband,Married,Male,Retired Legal executive,None,None
108,Stoke Trafficway,Damian,Williams,47,Son,Single,Male,Education administrator,None,Christian
108,Stoke Trafficway,Brett,Williams,46,Son,Single,Male,Community pharmacist,None,Christian
108,Stoke Trafficway,Katy,Williams,44,Daughter,Single,Female,"Therapist, music",None,None
109,Stoke Trafficway,Oliver,Grant,74,Head,Married,Male,Retired Marketing executive,None,Christian
109,Stoke Trafficway,Francesca,Grant,73,Wife,Married,Female,"Retired Designer, jewellery",None,Christian
109,Stoke Trafficway,Mary,Grant,11,Granddaughter,NA,Female,Student,None,NA
110,Stoke Trafficway,Wayne,Gibbons,57,Head,Married,Male,Hydrogeologist,None,None
110,Stoke Trafficway,Lucy,Gibbons,59,Wife,Married,Female,Geographical information systems officer,None,None
110,Stoke Trafficway,Marion,Jones,9,Granddaughter,NA,Female,Student,None,NA
111,Stoke Trafficway,Irene,Davis,68,Head,Widowed,Female,Retired Hydrographic surveyor,None,Christian
111,Stoke Trafficway,Judith,Davis,44,Daughter,Single,Female,Field seismologist,None,None
111,Stoke Trafficway,Eleanor,Davis,39,Daughter,Single,Female,Unemployed,None,Christian
112,Stoke Trafficway,Kirsty,Lane,64,Head,Married,Female,Civil Service administrator,None,Christian
112,Stoke Trafficway,Andrew,Lane,67,Husband,Married,Male,"Psychologist, sport and exercise",None,Christian
112,Stoke Trafficway,Diane,Lane,26,Daughter,Single,Female,Statistician,Physical Disability,None
112,Stoke Trafficway,Stephanie,Lane,18,Daughter,Widowed,Female,Student,None,None
112,Stoke Trafficway,Dean,Lane,15,Son,NA,Male,Student,None,NA
113,Stoke Trafficway,Annette,Bell,29,Head,Widowed,Female,Primary school teacher,None,Catholic
113,Stoke Trafficway,Allan,Clarke,12,Step-Son,NA,Male,Student,None,NA
113,Stoke Trafficway,Richard,Clarke,11,Step-Son,NA,Male,Student,None,NA
114,Stoke Trafficway,Francesca,Thompson,32,Head,Single,Female,Unemployed,None,None
114,Stoke Trafficway,Stanley,Nolan,35,Partner,Single,Male,Historic buildings inspector/conservation officer,None,None
114,Stoke Trafficway,Joshua,Thompson,5,Son,NA,Male,Student,None,NA
114,Stoke Trafficway,Mathew,Thompson,4,Son,NA,Male,Child,None,NA
115,Stoke Trafficway,Jordan,Watson,32,Head,Single,Male,PhD Student,None,Methodist
115,Stoke Trafficway,Wayne,Parry,19,None,Single,Male,University Student,None,None
115,Stoke Trafficway,Nicola,Miller,21,None,Single,Female,University Student,None,Catholic
116,Stoke Trafficway,Glen,Wright,31,Head,Single,Male,Oncologist,None,Catholic
117,Stoke Trafficway,Sandra,Brown,36,Head,Single,Female,Unemployed,None,Jewish
117,Stoke Trafficway,Pamela,Brown,13,Daughter,NA,Female,Student,None,NA
117,Stoke Trafficway,Hayley,Brown,11,Daughter,NA,Female,Student,None,NA
118,Stoke Trafficway,Glenn,Edwards,85.56434732,Head,Married,Male,Retired Interior and spatial designer,None,Methodist
118,Stoke Trafficway,Molly,Edwards,81.56434732,Wife,Married,Female,Retired Radio producer,None,None
118,Stoke Trafficway,Jade,Edwards,21,Granddaughter,Single,Female,University Student,None,None
118,Stoke Trafficway,Gerald,Edwards,20,Grandson,Single,Male,University Student,None,Methodist
118,Stoke Trafficway,Michael,Smith,16,Grandson,NA,Male,Student,None,NA
119,Stoke Trafficway,Amanda,Wilson,29,Head,Married,Female,"Designer, jewellery",None,None
119,Stoke Trafficway,Jeffrey,Wilson,31,Husband,Married,Male,"Engineer, mining",None,None
119,Stoke Trafficway,Harry,Wilson,5,Son,NA,Male,Student,None,NA
1,Turner Locks,Beth,Khan,76,Head,Single,Female,Retired Architect,None,None
2,Turner Locks,Nicole,Moore,66,Head,Widowed,Female,"Exhibitions officer, museum/gallery",None,None
3,Turner Locks,Rosemary,Evans,39,Head,Divorced,Female,Dance movement psychotherapist,None,Catholic
3,Turner Locks,Charlene,Richards,42,Cousin,Single,Female,"Engineer, control and instrumentation",None,Catholic
4,Turner Locks,Irene,Rice,21,Head,Single,Female,University Student,None,Methodist
4,Turner Locks,Joanne,Holland,31,None,Single,Female,PhD Student,None,Catholic
4,Turner Locks,Ian,Warren,18,None,Single,Male,University Student,None,None
5,Turner Locks,Teresa,Chambers,44,Head,Married,Female,"Accountant, chartered management",None,Christian
5,Turner Locks,Conor,Chambers,42,Husband,Married,Male,Product manager,None,Christian
5,Turner Locks,Anne,Chambers,20,Daughter,Divorced,Female,University Student,None,Christian
6,Turner Locks,Patrick,Lewis,42,Head,Single,Male,Toxicologist,None,Catholic
7,Turner Locks,Joseph,Campbell,63,Head,Widowed,Male,Theatre director,None,None
7,Turner Locks,Terry,Boyle,9,Grandson,NA,Male,Student,None,NA
8,Turner Locks,Kerry,Roberts,57,Head,Divorced,Female,Unemployed,None,Christian
9,Turner Locks,Megan,Burgess,35,Head,Married,Female,Purchasing manager,None,None
9,Turner Locks,Thomas,Burgess,46,Husband,Married,Male,Waste management officer,None,None
9,Turner Locks,Mohammad,Davies,31,Lodger,Divorced,Male,"Secretary, company",None,None
10,Turner Locks,Steven,Armstrong,28,Head,Single,Male,Unemployed,None,Muslim
10,Turner Locks,Tracey,Jackson,28,Partner,Single,Female,IT consultant,None,Muslim
11,Turner Locks,Clive,Hayes,80,Head,Married,Male,Retired Pathologist,None,None
11,Turner Locks,Joan,Hayes,78,Wife,Married,Female,Retired Purchasing manager,None,None
12,Turner Locks,Angela,Rhodes,49,Head,Single,Female,Technical sales engineer,None,Catholic
13,Turner Locks,Lauren,Daly,86,Head,Widowed,Female,"Retired Engineer, broadcasting (operations)",None,Christian
14,Turner Locks,Geraldine,Field,71,Head,Married,Female,Retired Air traffic controller,None,None
14,Turner Locks,Frederick,Field,69,Husband,Married,Male,Retired Retail buyer,None,None
15,Turner Locks,Rosie,Ali,66,Head,Widowed,Female,Set designer,None,None
16,Turner Locks,Brett,Howell,40,Head,Single,Male,Land,None,Methodist
17,Turner Locks,Julian,Mason,54,Head,Divorced,Male,Financial planner,None,Methodist
17,Turner Locks,Amelia,Mason,9,Granddaughter,NA,Female,Student,None,NA
18,Turner Locks,Sharon,James,43,Head,Divorced,Female,Tourism officer,None,None
18,Turner Locks,Susan,James,11,Daughter,NA,Female,Student,None,NA
19,Turner Locks,Katy,Pearson,105,Head,Widowed,Female,"Retired Scientist, water quality",None,Christian
20,Turner Locks,Nicole,Allen,74,Head,Widowed,Female,"Retired Therapist, nutritional",None,Christian
21,Turner Locks,Sara,Shaw,29,Head,Divorced,Female,Rural practice surveyor,None,None
22,Turner Locks,Owen,Osborne,85,Head,Widowed,Male,Retired Manufacturing systems engineer,None,Christian
23,Turner Locks,Stacey,Clayton,87,Head,Divorced,Female,Retired Advertising copywriter,None,None
24,Turner Locks,Lewis,Payne,33,Head,Widowed,Male,Sports administrator,None,None
25,Turner Locks,Rosie,Fowler,78,Head,Married,Female,Retired Podiatrist,None,None
25,Turner Locks,Tom,Fowler,84,Husband,Married,Male,Retired Copy,None,None
26,Turner Locks,Hazel,Page,58,Head,Single,Female,IT sales professional,None,Buddist
27,Turner Locks,Caroline,Forster,41,Head,Married,Female,Diplomatic Services operational officer, ,None
27,Turner Locks,Dylan,Forster,43,Husband,Married,Male,Ranger/warden,None,None
27,Turner Locks,Dawn,Forster,12,Daughter,NA,Female,Student,None,NA
28,Turner Locks,Alice,Williams,71,Head,Divorced,Female,Retired Immunologist,None,None
29,Turner Locks,Hilary,Bailey,52,Head,Divorced,Female,Unemployed,None,Christian
29,Turner Locks,Lee,Bailey,14,Son,NA,Male,Student,None,NA
30,Turner Locks,Emma,Davidson,71,Head,Divorced,Female,Retired Art therapist,None,None
31,Turner Locks,Roy,Wilson,45,Head,Single,Male,"Editor, film/video",None,None
32,Turner Locks,Cameron,Myers,35,Head,Single,Male,"Chemist, analytical",None,None
33,Turner Locks,Martyn,Jackson,38,Head,Divorced,Male,Ceramics designer,None,None
34,Turner Locks,Leonard,Wilson,39,Head,Single,Male,"Teacher, adult education",None,Christian
35,Turner Locks,Melissa,Read,33,Head,Divorced,Female,Unemployed,None,None
35,Turner Locks,Anne,Read,16,Daughter,NA,Female,Student,None,NA
35,Turner Locks,Charlotte,Read,14,Daughter,NA,Female,Student,None,NA
36,Turner Locks,Elliot,Manning,43,Head,Single,Male,Information officer,None,None
37,Turner Locks,Shirley,Edwards,74,Head,Divorced,Female,Retired Structural engineer,None,Christian
38,Turner Locks,Adrian,Richardson,62,Head,Divorced,Male,Fitness centre manager,None,Christian
39,Turner Locks,Rebecca,Owens,59,Head,Single,Female,Music tutor,None,Christian
40,Turner Locks,Robin,Harrison,48,Head,Single,Male,Best boy,None,Christian
41,Turner Locks,Gavin,Baker,21,Head,Single,Male,Advertising copywriter,None,Methodist
1,Paladin Vista,Kayleigh,Heath,30,Head,Divorced,Female,Animator,None,Methodist
1,Paladin Vista,Ruth,Thompson,51,Visitor,Divorced,Female,Unemployed,None,None
2,Paladin Vista,Norman,Skinner,31,Head,Married,Male,Office manager,None,Christian
2,Paladin Vista,Valerie,Skinner,26,Wife,Married,Female,"Teacher, early years/pre",None,Christian
3,Paladin Vista,Frank,Newman,89,Head,Widowed,Male,Retired Risk manager,None,Christian
4,Paladin Vista,Ann,Jenkins,32,Head,Single,Female,Barrister,None,None
5,Paladin Vista,Paul,Clark,86,Head,Widowed,Male,Retired Research scientist (maths),None,Christian
6,Paladin Vista,Naomi,Smith,48,Head,Single,Female,Industrial buyer,None,None
7,Paladin Vista,Jade,Fisher,55,Head,Single,Female,Unemployed,None,Christian
7,Paladin Vista,George,Fisher,25,Son,Single,Male,Corporate investment banker,None,Christian
8,Paladin Vista,Nicole,Patel,35,Head,Single,Female,Air broker,None,Catholic
9,Paladin Vista,Denis,Kemp,74,Head,Widowed,Male,Retired Higher education careers adviser,None,Christian
10,Paladin Vista,Oliver,Fisher-Reid,41,Head,Married,Male,Research scientist (life sciences),None,None
10,Paladin Vista,Kathleen,Fisher-Reid,40,Wife,Married,Female,Best boy,None,None
11,Paladin Vista,Barry,Harding,64,Head,Divorced,Male,Industrial/product designer,None,Methodist
12,Paladin Vista,Charlotte,Brown,44,Head,Married,Female,Learning disability nurse,None,None
12,Paladin Vista,Kevin,Brown,49,Husband,Married,Male,Operational researcher,None,None
12,Paladin Vista,Steven,Brown,7,Son,NA,Male,Student,None,NA
13,Paladin Vista,Ian,Foster,40,Head,Married,Male,"Scientist, marine",None,Catholic
13,Paladin Vista,Jill,Foster,43,Wife,Married,Female,Television production assistant,None,None
14,Paladin Vista,Russell,Graham,97,Head,Widowed,Male,Retired Mining engineer,None,Christian
15,Paladin Vista,Amber,Shepherd,52,Head,Widowed,Female,Geochemist,None,Methodist
16,Paladin Vista,Heather,Jackson,51,Head,Married,Female,Probation officer,None,None
16,Paladin Vista,Colin,Jackson,53,Husband,Married,Male,Pension scheme manager,None,None
16,Paladin Vista,Joe,Jackson,15,Son,NA,Male,Student,None,NA
17,Paladin Vista,Nicholas,Robinson,65,Head,Married,Male,Teaching laboratory technician,None,None
17,Paladin Vista,Mary,Robinson,64,Wife,Married,Female,"Scientist, research (physical sciences)",None,None
18,Paladin Vista,Richard,Lawson,29,Head,Single,Male,Pensions consultant,None,Catholic
19,Paladin Vista,Natasha,Cox,51,Head,Widowed,Female,Colour technologist,None,Christian
20,Paladin Vista,Jay,Palmer,34,Head,Married,Male,Clinical molecular geneticist,None,None
20,Paladin Vista,Lynn,Palmer,32,Wife,Married,Female,Unemployed,None,None
21,Paladin Vista,Gordon,Walker,68,Head,Divorced,Male,Retired Herbalist,None,None
21,Paladin Vista,Tony,Ahmed,4,Grandson,NA,Male,Child,None,NA
22,Paladin Vista,June,Johnston,21,Head,Single,Female,University Student,None,Christian
23,Paladin Vista,Claire,Hodgson,43,Head,Married,Female,Dealer,None,None
23,Paladin Vista,Jeffrey,Hodgson,42,Husband,Married,Male,Medical sales representative,None,None
23,Paladin Vista,Diana,Gray,33,Lodger,Divorced,Female,Fitness centre manager,None,Catholic
24,Paladin Vista,Christopher,Chan,64,Head,Single,Male,Insurance claims handler,None,Christian
24,Paladin Vista,Clare,Dawson,60,Partner,Single,Female,Building services engineer,None,None
25,Paladin Vista,Aimee,Walton,82,Head,Widowed,Female,Retired Adult guidance worker,None,None
26,Paladin Vista,Barbara,Chambers,32,Head,Single,Female,Economist,None,None
27,Paladin Vista,Guy,Cross,19,Head,Divorced,Male,University Student,None,None
28,Paladin Vista,Joanna,Howe,45,Head,Single,Female,Haematologist,None,Christian
28,Paladin Vista,Brenda,Patel,51,None,Single,Female,Tourist information centre manager,None,Methodist
29,Paladin Vista,Jennifer,Powell,41,Head,Divorced,Female,Drilling engineer,None,Christian
30,Paladin Vista,Shane,Evans,82,Head,Widowed,Male,"Retired Surveyor, land/geomatics",None,None
31,Paladin Vista,Josephine,Stone,34,Head,Married,Female,Local government officer,None,Christian
31,Paladin Vista,James,Stone,37,Husband,Married,Male,Herbalist,None,Christian
32,Paladin Vista,Robin,O'Brien,19,Head,Divorced,Male,University Student,None,Sikh
32,Paladin Vista,Dale,Brown,57,None,Single,Male,Purchasing manager,None,Catholic
32,Paladin Vista,Connor,Osborne,61,None,Single,Male,Television/film/video producer,None,Christian
33,Paladin Vista,Abbie,James,62,Head,Married,Female,Chief Financial Officer,None,Christian
33,Paladin Vista,Russell,James,67,Husband,Married,Male,"Psychotherapist, dance movement",None,None
33,Paladin Vista,Nicola,James,37,Daughter,Divorced,Female,Radio broadcast assistant,None,None
34,Paladin Vista,Raymond,Johnson,103,Head,Widowed,Male,Retired Newspaper journalist,None,None
35,Paladin Vista,Wendy,Wyatt,75,Head,Widowed,Female,Retired Therapeutic radiographer,None,Methodist
36,Paladin Vista,Melissa,Scott,30,Head,Single,Female,Adult nurse,None,None
37,Paladin Vista,Sylvia,Jones,24,Head,Single,Female,"Engineer, civil (contracting)",None,None
38,Paladin Vista,Donald,Owen,85,Head,Widowed,Male,"Retired Conservator, furniture",None,Christian
39,Paladin Vista,Tracy,Riley,15,Head,Married,Female,Student,None,NA
39,Paladin Vista,Brian,Riley-Marsh,19,Husband,Married,Male,University Student,None,None
39,Paladin Vista,Lewis,Riley-Marsh,0,Son,NA,Male,Child,None,NA
40,Paladin Vista,Maria,Hart,71,Head,Divorced,Female,Retired Broadcast presenter,None,Catholic
1,Burgess Drive,Ruth,Palmer,49,Head,Single,Female,Furniture designer,None,Catholic
1,Burgess Drive,David,Begum,48,Partner,Single,Male,English as a foreign language teacher,None,None
1,Burgess Drive,Kirsty,Palmer,25,Daughter,Single,Female,Unemployed,None,Catholic
1,Burgess Drive,Dean,Palmer,12,Son,NA,Male,Student,None,NA
2,Burgess Drive,Kirsty,Griffiths,30,Head,Single,Female,Video editor,None,None
3,Burgess Drive,Catherine,Chambers,20,Head,Divorced,Female,Customer service manager,None,None
3,Burgess Drive,Angela,Chambers,0,Daughter,NA,Female,Child,None,NA
3,Burgess Drive,Colin,Richards,51,Lodger,Single,Male,"Teacher, adult education",None,Methodist
3,Burgess Drive,Grace,Clements,19,Sibling,Single,Female,University Student,None,None
4,Burgess Drive,Melissa,Yates,44,Head,Married,Female,International aid/development worker,None,None
4,Burgess Drive,Elliot,Yates,46,Husband,Married,Male,Sport and exercise psychologist,None,None
4,Burgess Drive,Francesca,Yates,12,Daughter,NA,Female,Student,None,NA
4,Burgess Drive,Lorraine,Yates,8,Daughter,NA,Female,Student,None,NA
4,Burgess Drive,Christopher,Yates,8,Son,NA,Male,Student,None,NA
4,Burgess Drive,Karl,Yates,4,Son,NA,Male,Child,None,NA
5,Burgess Drive,Anna,Woodward,48,Head,Married,Female,Jewellery designer,None,Catholic
5,Burgess Drive,Robert,Woodward,50,Husband,Married,Male,Press sub,None,Catholic
5,Burgess Drive,Stacey,Woodward,12,Daughter,NA,Female,Student,None,NA
5,Burgess Drive,Susan,Woodward,9,Daughter,NA,Female,Student,None,NA
6,Burgess Drive,Alison,Peters,59,Head,Single,Female,Manufacturing engineer,None,Christian
7,Burgess Drive,Luke,Ingram,71,Head,Married,Male,Retired Pharmacologist,None,Methodist
7,Burgess Drive,Molly,Ingram,71,Wife,Married,Female,Retired Pathologist,None,Methodist
7,Burgess Drive,Tom,Ingram,26,Grandson,Single,Male,Marine scientist,None,None
7,Burgess Drive,Declan,Ingram,24,Grandson,Divorced,Male,"Surveyor, planning and development",None,None
8,Burgess Drive,Joseph,Bird,65,Head,Divorced,Male,"Production designer, theatre/television/film",None,Christian
8,Burgess Drive,Leigh,Bird,11,Grandson,NA,Male,Student,None,NA
8,Burgess Drive,D,Bird,7,Grandson,NA,Male,Student,None,NA
8,Burgess Drive,Dean,Wilson,4,Grandson,NA,Male,Child,None,NA
8,Burgess Drive,Geraldine,Lawson-Wilson,4,Granddaughter,NA,Female,Child,None,NA
8,Burgess Drive,Eric,Edwards,3,Grandson,NA,Male,Child,None,NA
9,Burgess Drive,Christine,Iqbal,41,Head,Single,Female,Unemployed,None,Christian
9,Burgess Drive,Sharon,Iqbal,12,Daughter,NA,Female,Student,None,NA
9,Burgess Drive,Tina,Iqbal,5,Daughter,NA,Female,Student,None,NA
10,Burgess Drive,Jack,Williams,47,Head,Married,Male,Music tutor,Deaf,None
10,Burgess Drive,Jasmine,Williams,45,Wife,Married,Female,Commissioning editor,None,None
10,Burgess Drive,James,Williams,13,Son,NA,Male,Student,None,NA
11,Burgess Drive,Naomi,Williams,67,Head,Married,Female,"Administrator, Civil Service",None,None
11,Burgess Drive,Reece,Williams,66,Husband,Married,Male,Operational researcher,None,None
11,Burgess Drive,Francis,Williams,24,Son,Single,Male,Animal nutritionist,None,None
11,Burgess Drive,Kyle,Williams,4,Son,NA,Male,Child,None,NA
12,Burgess Drive,Rachel,Edwards,36,Head,Married,Female,Communications engineer,None,Christian
12,Burgess Drive,Dominic,Edwards,39,Husband,Married,Male,"Programmer, systems",None,Christian
12,Burgess Drive,Leon,Edwards,12,Son,NA,Male,Student,None,NA
12,Burgess Drive,Rosie,Edwards,9,Daughter,NA,Female,Student,None,NA
13,Burgess Drive,Katie,Cook,70,Head,Widowed,Female,"Retired Horticulturist, commercial",None,None
14,Burgess Drive,Dean,Evans-Lee,64,Head,Divorced,Male,Freight forwarder,None,None
14,Burgess Drive,Jill,Evans-Lee,31,Daughter,Single,Female,Clinical cytogeneticist,None,None
14,Burgess Drive,Alexander,Evans-Lee,27,Son,Single,Male,"Engineer, aeronautical",None,None
15,Burgess Drive,Lindsey,Hunt,66,Head,Single,Female,"Engineer, petroleum",None,Methodist
15,Burgess Drive,Ashley,Walker,65,Partner,Single,Male,Nutritional therapist,None,Methodist
15,Burgess Drive,Alexander,Hunt,32,Son,Divorced,Male,Sports therapist,None,Methodist
15,Burgess Drive,Joseph,Hunt,32,Son,Divorced,Male,Data processing manager,None,Methodist
15,Burgess Drive,Clifford,Hunt,29,Son,Divorced,Male,"Production assistant, radio",None,None
15,Burgess Drive,Declan,Hunt,1,Son,NA,Male,Child,None,NA
16,Burgess Drive,Yvonne,Palmer,59,Head,Divorced,Female,Hospital pharmacist,None,Christian
16,Burgess Drive,Jessica,Palmer,29,Daughter,Single,Female,"Scientist, forensic",None,None
16,Burgess Drive,Marc,Palmer,27,Son,Divorced,Male,Quantity surveyor,None,Christian
16,Burgess Drive,Richard,Palmer,24,Son,Single,Male,Haematologist,None,Christian
16,Burgess Drive,Christian,Palmer,20,Son,Single,Male,University Student,None,None
17,Burgess Drive,Elizabeth,Morgan,27,Head,Married,Female,Radio broadcast assistant,None,None
17,Burgess Drive,Shaun,Morgan,30,Husband,Married,Male,Management consultant,None,None
17,Burgess Drive,Mohamed,Morgan,3,Son,NA,Male,Child,None,NA
17,Burgess Drive,Geraldine,Walker,62,Lodger,Single,Female,Social researcher,None,None
18,Burgess Drive,Maureen,Davies,62,Head,Divorced,Female,Accommodation manager,None,Christian
18,Burgess Drive,Natasha,Thomas,58,None,Single,Female,"Psychologist, forensic",None,Christian
18,Burgess Drive,Adam,French,42,None,Single,Male,Psychiatric nurse,None,Catholic
18,Burgess Drive,Anna,Adams,30,None,Single,Female,Recruitment consultant,None,None
19,Burgess Drive,Linda,Martin,55,Head,Divorced,Female,"Embryologist, clinical",None,Christian
19,Burgess Drive,Laura,King,30,Daughter,Single,Female,"Doctor, general practice",None,Christian
19,Burgess Drive,Olivia,King,27,Daughter,Single,Female,Health and safety inspector,None,Christian
19,Burgess Drive,Jill,King,21,Daughter,Divorced,Female,Building surveyor,None,Christian
20,Burgess Drive,Marion,Wilkinson,53,Head,Married,Female,Television/film/video producer,None,Christian
20,Burgess Drive,Marcus,Wilkinson,55,Husband,Married,Male,Financial adviser,None,Christian
20,Burgess Drive,Jeremy,Wilkinson,22,Son,Single,Male,University Student,None,Christian
20,Burgess Drive,Julia,Wilkinson,6,Daughter,NA,Female,Student,None,NA
21,Burgess Drive,Stacey,Jones,34,Head,Married,Female,Forensic psychologist,None,Christian
